File name,MCA_SV,,,,,,
Sample name,MCA,,,,,,
Date analyzed,3/18/2026 16:02,,,,,,
Sample type,Metal & Alloy,,,,,,
Component type,Metal,,,,,,
Matching library,,,,,,,
Sample film corr.,,,,,,,
Impurity corr.,,,,,,,
,,,,,,,
Component,Result,Unit,Det. limit,El. line,Intensity,w/o normal,Analyzing depth(mm)
O,0,mass%,0,O -KA (FA),0,0,0
F,0,mass%,0.26838,F -KA  (FA),0,0,0.0011
Na,0.0966,mass%,0.01937,Na-KA  (FA),0.1109,0.0964,0.0008
Mg,0,mass%,0.00957,Mg-KA  (FA),0.0328,0,0.0013
Al,0.0251,mass%,0.00212,Al-KA  (FA),0.2374,0.0251,0.0019
Si,0.4414,mass%,0.00173,Si-KA  (FA),5.6206,0.4406,0.0027
P,0.033,mass%,0.001,P -KA  (FA),1.0318,0.033,0.0036
S,0.0788,mass%,0.0012,S -KA  (FA),2.4093,0.0787,0.0049
Cl,0.0075,mass%,0.00189,Cl-KA  (FA),0.087,0.0074,0.0069
K,0.0059,mass%,0.00115,K -KA  (FA),0.2824,0.0059,0.0135
Ca,0.0092,mass%,0.00171,Ca-KA  (FA),0.486,0.0092,0.0174
Sc,0,mass%,0,Sc-KA (FA),0,0,0
Ti,0,mass%,0.00262,Ti-KA  (FA),0,0,0.0271
V,0.0812,mass%,0.00173,V -KA  (FA),2.2755,0.081,0.0338
Cr,15.8755,mass%,0.00308,Cr-KA  (FA),667.5,15.8488,0.0423
Mn,1.3116,mass%,0.00331,Mn-KA  (FA),62.3825,1.3094,0.0536
Fe,63.1272,mass%,0.00478,Fe-KA  (FA),2710.6146,63.0617,0.0367
Co,0.1558,mass%,0.00354,Co-KA  (FA),9.1858,0.1555,0.0436
Ni,6.7106,mass%,0.00211,Ni-KA  (FA),233.6958,6.6993,0.0189
Cu,0.3264,mass%,0.00153,Cu-KA  (FA),15.2735,0.3258,0.0228
Zn,0,mass%,0.00114,Zn-KA  (FA),0.1543,0,0.0254
Ga,0.0023,mass%,0.00109,Ga-KA  (FA),0.1542,0.0023,0.0304
Ge,0.0017,mass%,0.00104,Ge-KA  (FA),0.1518,0.0017,0.0361
As,0,mass%,0.00092,As-KA  (FA),0.2442,0,0.0428
Se,0,mass%,0.00091,Se-KA  (FA),0,0,0.0504
Br,0,mass%,0.00085,Br-KA  (FA),0,0,0.0594
Rb,0,mass%,0.00075,Rb-KA  (FA),0,0,0.0809
Sr,0.0001,mass%,0.00069,Sr-KA  (FA),0.0132,0.0001,0.0935
Y,0.0002,mass%,0.00063,Y -KA  (FA),0.0385,0.0002,0.1071
Zr,0,mass%,0.00061,Zr-KA  (FA),0,0,0.1209
Nb,0.0045,mass%,0.00056,Nb-KA  (FA),1.4285,0.0045,0.1381
Mo,0.2868,mass%,0.00058,Mo-KA  (FA),95.2826,0.2863,0.1556
Ru,0,mass%,0.00251,Ru-KA  (FA),0,0,0.2444
Rh,0,mass%,0.00211,Rh-KA  (FA),0.0048,0,0.2734
Pd,0,mass%,0.00209,Pd-KA  (FA),0,0,0.3068
Ag,0.0002,mass%,0.00165,Ag-KA  (FA),0.001,0.0002,0.3467
Cd,0,mass%,0.00208,Cd-KA  (FA),0,0,0.3839
In,0.0008,mass%,0.00183,In-KA  (FA),0.0044,0.0008,0.4338
Sn,0.0025,mass%,0.00261,Sn-KA  (FA),0.0157,0.0025,0.4831
Sb,0,mass%,0.00327,Sb-KA  (FA),0,0,0.5041
Te,0.0002,mass%,0.00388,Te-KA  (FA),0.0243,0.0002,0.5783
I,0.0169,mass%,0.00402,I -KA  (FA),0.902,0.0168,0.6452
Cs,0,mass%,0.00693,Cs-KA  (FA),0,0,0.7794
Ba,0.0036,mass%,0.00822,Ba-LA  (FA),0.02,0.0036,0.0287
La,0.0007,mass%,0.00758,La-LA  (FA),0.0042,0.0007,0.0316
Ce,0,mass%,0.00588,Ce-LA  (FA),0.0006,0,0.0333
Pr,0,mass%,0.00539,Pr-LA  (FA),0,0,0.0364
Nd,0,mass%,0.00614,Nd-LA  (FA),0,0,0.0406
Sm,0.0018,mass%,0.00634,Sm-LA  (FA),0.0221,0.0018,0.0531
Eu,0,mass%,0.00773,Eu-LA  (FA),0.8465,0,0.0552
Gd,0,mass%,0.00833,Gd-LA  (FA),0,0,0.0332
Tb,0.1246,mass%,0.00971,Tb-LA  (FA),1.9697,0.1244,0.0378
Dy,0.0366,mass%,0.01545,Dy-LA  (FA),7.2122,0.0366,0.0416
Ho,0,mass%,0.00753,Ho-LA  (FA),0,0,0.0423
Er,0,mass%,0.01173,Er-LA  (FA),2.8189,0,0.0462
Tm,0,mass%,0.01574,Tm-LA  (FA),0,0,0.018
Yb,0.0618,mass%,0.01355,Yb-LA  (FA),4.0977,0.0617,0.0198
Lu,0,mass%,0.00546,Lu-LA  (FA),0.7142,0,0.0213
Hf,0,mass%,0.00496,Hf-LA  (FA),0,0,0.0231
Ta,0.0009,mass%,0.00544,Ta-LA  (FA),0.5606,0.0009,0.0252
W,0,mass%,0.00375,W -LA  (FA),0.3664,0,0.025
Re,0.01,mass%,0.00346,Re-LA  (FA),0.1991,0.01,0.0274
Os,0,mass%,0.00376,Os-LA  (FA),2.8828,0,0.0293
Ir,0,mass%,0.00335,Ir-LA  (FA),0,0,0.0315
Pt,0,mass%,0.00296,Pt-LA  (FA),0,0,0.034
Au,0,mass%,0.00289,Au-LA  (FA),0,0,0.0365
Hg,0,mass%,0.00264,Hg-LA  (FA),0.1372,0,0.0393
Tl,0,mass%,0.00246,Tl-LA  (FA),0,0,0.0423
Pb,0,mass%,0.0023,Pb-LA  (FA),0.2058,0,0.0453
Bi,0,mass%,0.00217,Bi-LA  (FA),0.0001,0,0.0487
Po,0,mass%,0.00191,Po-LA  (FA),0,0,0.052
At,0,mass%,0.00194,At-LA  (FA),0,0,0.0557
Fr,0,mass%,0.00192,Fr-LA  (FA),0,0,0.0639
Ra,0.0005,mass%,0.00179,Ra-LA  (FA),0.0308,0.0005,0.0698
Ac,0.0004,mass%,0.00174,Ac-LA  (FA),0.0286,0.0004,0.0745
Th,0,mass%,0.0017,Th-LA  (FA),0.0007,0,0.0794
Pa,0.0006,mass%,0.00154,Pa-LA  (FA),0.0506,0.0006,0.0846
U,0,mass%,0.00149,U -LA  (FA),0.0038,0,0.09
CO2,11.1,mass%,,,,11.1,
